transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud
9608,363,4922.5875423114285,ATM,Travel,TR,12,0.9923465237053082,0.9479076765522912,1
456,692,48.01830285876102,QR,Food,US,21,0.16857123943741714,0.22405740349119166,0
4747,587,136.88196000299405,Online,Travel,TR,14,0.29612724879473956,0.12505769241015305,0
6934,445,80.53471896232148,POS,Clothing,TR,23,0.12480097836782779,0.1592425051585693,0
1646,729,120.04115818676428,Online,Grocery,FR,16,0.0981289537116425,0.02754196922389681,0
2183,944,97.10862458470542,POS,Clothing,DE,17,0.2353994323859285,0.1054540510901703,0
1919,829,166.2092618572779,Online,Travel,UK,12,0.11590590864268228,0.22371784341004333,0
3479,845,96.51263663096326,Online,Grocery,US,7,0.08225043328647746,0.034023010133471865,0
6796,129,83.33870063187989,QR,Food,DE,16,0.0217744413637976,0.27959750653342147,0
5129,249,89.69573134806983,QR,Grocery,UK,6,0.09535343717269791,0.13633641340833455,0
7402,701,101.40382672472745,QR,Travel,FR,7,0.16479393481940688,0.29193962463857537,0
6188,116,106.56344355857529,QR,Food,DE,23,0.13623596858798723,0.1358305529043107,0
8538,679,55.36360144813594,Online,Food,US,10,0.07430426366719887,0.1287602546987983,0
8410,559,99.41209708030595,Online,Food,DE,10,0.08477355164396096,0.014333688637872632,0
8201,564,94.5456051441663,ATM,Clothing,TR,20,0.13348972740002596,0.16200983448572015,0
2187,336,133.4106627218069,POS,Food,UK,19,0.08313216365193023,0.28602018920359074,0
5666,166,157.99812334207053,QR,Electronics,FR,19,0.2075330047227872,0.019961657221260854,0
1419,288,202.99589542072368,QR,Grocery,TR,23,0.15654429930596844,0.08275756652907204,0
6484,984,88.50981483421131,QR,Travel,UK,19,0.14780302978986357,0.20648020390836644,0
2480,137,115.30655945024978,Online,Food,FR,14,0.20638437804657292,0.06876635331550568,0
2818,893,63.99286999198463,QR,Travel,FR,12,0.04374362149392835,0.2228466120955162,0
8826,620,113.30575124310727,ATM,Clothing,TR,9,0.1421629827225529,0.03488554332227759,0
8257,600,131.96349737388977,Online,Clothing,FR,18,0.0398973274519932,0.04451144237697532,0
9933,121,4284.177966789535,ATM,Food,TR,12,0.7378542343081798,0.7310706966099291,1
9035,358,76.69547978824451,POS,Grocery,TR,7,0.09397596614893379,0.1849988394372379,0
7468,688,138.64170246332006,POS,Electronics,TR,17,0.10804562947730546,0.2096710067601381,0
464,832,133.26357531450472,Online,Travel,DE,15,0.05743408766243224,0.09218882146107052,0
